CRF,PROCHR,PROCHARS,gunzip,2,Y,1,Y,30,Y,carr_pro_chars_sirval.CSV,N,ADHOC,TLOG_REG,N,,N,N,0,|,1,200,210,1,3,,N,
CRF,PROCHR,PROUPCS,gunzip,2,Y,1,Y,30,Y,carr_pro_ean_sirval.CSV,N,ADHOC,TLOG_REG,N,,N,N,0,|,1,200,210,1,3,,N,
CRF,PROCHRSTD,PROCHRSTD,gunzip,1,Y,1,Y,30,N,pro_chr_%.txt,N,ADHOC,TLOG_REG,N,,N,Y,1,|,1,200,210,9,22,,N,
CRF,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_LTFACTS_%%%%%%%%%%%%%%.dat.gz,N,WEEKLY,SGMT_REG,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
CRF,HHS_RSTMT,HHR,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_LTFACTS_%%%%%%%%%%%%%%_R.dat.gz,N,WEEKLY,RESTATE,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
CRF,PXL,PXL,gunzip,1,Y,1,Y,30,N,PXL_%%%%%%%%%%%%%%.dat.gz,N,WEEKLY,REF,Y,GZIP,N,Y,1,|,1,200,210,5,22,,N,
CRF,PRMTN,PRMTN,gunzip,2,Y,1,Y,30,N,PMO_%%%_%%%%%%%%%%%%%%.dat.gz,N,WEEKLY,REF,Y,GZIP,Y,Y,1,|,2,200,210,5,22,,N,
CRF,PRMTN,PRMDTL,gunzip,2,Y,1,Y,30,N,PMD_%%%_%%%%%%%%%%%%%%.dat.gz,N,WEEKLY,REF,Y,GZIP,Y,Y,1,|,2,200,210,5,22,,N,
CRF,PRMO,PRMO,gunzip,1,Y,1,Y,30,N,PRMO_%%%_%%%%%%%%%%%%%%.dat.gz,N,WEEKLY,REF,Y,GZIP,Y,Y,1,|,1,200,210,5,22,,N,
CRF,PRDCCGRP,PRDCCGRP,gunzip,1,Y,1,Y,30,N, ,N,WEEKLY,REF_REG,Y,GZIP,Y,N,0,|,1,200,210, , ,,N,
CRF,PODCGRP,PODCGRP,gunzip,1,Y,1,Y,30,N, ,N,WEEKLY,REF_REG,Y,GZIP,Y,N,0,|,1,200,210, , ,,N,
CRF,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_FACTS_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
CRF,HHS_RSTMT,HHR,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_FACTS_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
CRF,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_PR_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
CRF,HHS_RSTMT,HHR,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_PR_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
CRF,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_PS_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
CRF,HHS_RSTMT,HHR,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_PS_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
CRF,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_TP_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
CRF,HHS_RSTMT,HHR,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_TP_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
CRF,HOU,HOU,gunzip,1,Y,1,Y,30,N,HOU_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,N,Y,1,|,1,200,210,1,22,,N,
CRF,IDC,IDC,gunzip,1,Y,1,Y,30,N,IDC_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,N,Y,1,|,1,200,210,1,22,,N,
CRF,NON,NON,gunzip,1,Y,1,Y,30,Y,NON_ARCH_%.txt.gz,N,DAILY,NONSTD_ARCH,Y,GZIP,N,Y,1,|,1,200,210,9,17,,N,
CRF,PCR,PCR,gunzip,1,Y,1,Y,30,Y,PCR_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,NON_STD,Y,GZIP,N,Y,1,|,1,200,210,1,22,,N,
CRF,PRO,PRO,gunzip,1,Y,1,Y,30,N,PRO_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,N,Y,1,|,1,200,210,1,22,,N,
CRF,PRS,PRS,gunzip,1,Y,1,Y,30,N,PRS_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,N,Y,1,|,1,200,210,1,256,,N,
CRF,STO,STO,gunzip,1,Y,1,Y,30,N,STO_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,N,Y,1,|,1,200,210,1,22,,N,
CRF,STS,STS,gunzip,1,Y,1,Y,30,N,STS_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,Y,N,0,|,1,200,210,5,50,,N,
CRF,TLOG,BAS,gunzip,2,Y,1,Y,30,N,BAS_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,TLOG_REG,Y,GZIP,N,Y,1,|,10,200,210,5,22,,N,
CRF,TLOG,ITM,gunzip,2,Y,1,Y,30,N,ITM_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,TLOG_REG,Y,GZIP,N,Y,1,|,10,200,210,5,22,,N,
CRF,TLOG_RSTMT,BAR,gunzip,2,Y,1,Y,30,N,BAS_%%%_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,N,Y,1,|,10,200,210,5,22,,N,
CRF,TLOG_RSTMT,ITR,gunzip,2,Y,1,Y,30,N,ITM_%%%_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,N,Y,1,|,10,200,210,5,22,,N,
CRF,TPD,TPD,gunzip,1,Y,1,Y,30,Y,TPD_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,NON_STD,Y,GZIP,N,Y,1,|,1,200,210,1,22,,N,
CRF,AGP,AGP,gunzip,1,Y,1,Y,30,N,AGP_SWS_%%%%%%%%_%%%%%%%%.dat.gz,N,WEEKLY,AGP_REG,Y,GZIP,N,Y,1,|,1,200,210,9,25,,N,
CRF,AGP_RSTMT,AGR,gunzip,1,Y,1,Y,30,N,AGP_SWS_%%%%%%%%_%%%%%%%%_R.dat.gz,N,WEEKLY,RESTATE,Y,GZIP,N,Y,1,|,1,200,210,9,25,,N,
CRF,RGP,RGP,gunzip,1,Y,1,Y,30,N,RGP_SWS_%%%%%%%%_%%%%%%%%.dat.gz,N,WEEKLY,RGP_REG,Y,GZIP,N,Y,1,|,1,200,210,9,25,,N,
CRF,RGP_RSTMT,RGR,gunzip,1,Y,1,Y,30,N,RGP_SWS_%%%%%%%%_%%%%%%%%_R.dat.gz,N,WEEKLY,RESTATE,Y,GZIP,N,Y,1,|,1,200,210,9,25,,N,
CRF,LNE,LNE,gunzip,1,Y,1,Y,30,N,LNE_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,N,Y,1,|,1,200,210,5,22,,N,
CRF,PRM,PRM,gunzip,3,Y,1,Y,30,Y,PRM_%%%_%%%%%%%%%%%%%%.dat.gz,N,WEEKLY,PRM_REG,Y,GZIP,Y,Y,1,|,4,200,210,9,25,,N,
CRF,PRM,PST,gunzip,3,Y,1,Y,30,Y,PST_%%%_%%%%%%%%%%%%%%.dat.gz,N,WEEKLY,PRM_REG,Y,GZIP,Y,Y,1,|,4,200,210,9,25,,N,
CRF,PRM,PRC,gunzip,3,Y,1,Y,30,Y,PRC_%%%_%%%%%%%%%%%%%%.dat.gz,N,WEEKLY,PRM_REG,Y,GZIP,Y,Y,1,|,4,200,210,9,25,,N,
CRF,SCH,SCH,gunzip,1,Y,1,Y,30,Y,SCH_%%%_%%%%%%%%%%%%%%.dat.gz,N,WEEKLY,SCH_REG,Y,GZIP,Y,Y,1,|,1,200,210,1,22,,N,
CRF,OOS,OOS,gunzip,1,Y,1,Y,30,Y,OOS_%%%_%%%%%%%%%%%%%%.dat.gz,N,WEEKLY,OOS_REG,Y,GZIP,Y,Y,1,|,1,200,210,1,22,,N,
CRF,HHA,HHA,gunzip,1,Y,1,Y,30,N,HHA_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,N,Y,1,|,1,200,210,1,256,,N,
CRF,HHA_RSTMT,HAR,gunzip,1,Y,1,Y,30,N,HHA_%%%_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,N,Y,1,|,1,200,210,1,256,,N,
CRF,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
CRF,HHS_RSTMT,HHR,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,N,Y,1,|,1,200,210,5,30,,N,
HSC,HHH,HHB,gunzip,3,N,1,Y,30,Y,BG%.%_%.bgrp.gz,N,DAILY,REF,Y,GZIP,N,N,,,3,200,210,1,8,,N,
HSC,HHH,HHF,gunzip,3,N,1,Y,30,Y,BG%.%_%.fam.gz,N,DAILY,REF,Y,GZIP,N,N,,,3,200,210,1,8,,N,
HSC,HHH,HHX,gunzip,3,N,1,Y,30,Y,BG%_%.xml.gz,N,DAILY,REF,Y,GZIP,N,N,,,3,200,210,1,8,,N,
HSC,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%%%_HMSCN_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,Y,N,0,|,1,200,210,5,30,,N,
HSC,HHS_RSTMT,HHR,gunzip,1,Y,1,Y,30,N,HHS_%%%_HMSCN_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,Y,N,0,|,1,200,210,5,30,,N,
HSC,BKSK,BKSK,gunzip,1,Y,1,Y,0,N,BKS_HMS_MISSION_KFT_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,Y,Y,1,|,1,200,210,5,30,KFT,Y,
HSC,BKM,BKM,gunzip,1,Y,1,Y,0,N,BKS_HMS_MISSION_SNG_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,Y,Y,1,|,1,200,210,5,30,SNG,Y,
HSC,STTYP,STTYP,gunzip,1,Y,1,Y,30,N,pnlstatictyp.txt,N,ADHOC,PANEL_REG,N,,N,Y,1,|,10,,30,1,50,,N,
HSC,TRPTYP,TRPTYP,gunzip,1,Y,1,Y,30,N,pnltriptyp.txt,N,ADHOC,PANEL_REG,N,,N,Y,1,|,10,,30,1,50,,N,
HSC,MRKTCA,MRKTCA,gunzip,1,Y,1,Y,30,Y,market_input.csv,N,ADHOC,PANEL_REG,N,,N,N,,",",10,,30,1,50,,N,
HSC,MRKT,MKTPNL,gunzip,3,Y,1,Y,30,N,mrktpnlsmap_%.txt,N,ADHOC,PANEL_REG,N,,N,Y,1,|,10,,30,13,20,,N,
HSC,MRKT,PNLTYP,gunzip,3,Y,1,Y,30,N,pnlstyp_%.txt,N,ADHOC,PANEL_REG,N,,N,Y,1,|,10,,30,9,16,,N,
HSC,MRKT,MKTSMM,gunzip,3,Y,1,Y,30,N,mrktotlmap_%.txt,N,ADHOC,PANEL_REG,N,,N,Y,1,|,10,,30,12,19,,N,
HSC,RTLOTLTCA,RTLOTLDMAP,gunzip,2,Y,1,Y,30,Y,Retailoutletdimensionmapping.txt,N,ADHOC,PANEL_REG,N,,N,N,,",",10,,30,29,32,,N,
HSC,RTLOTLTCA,RTLOTLSTR,gunzip,2,Y,1,Y,30,Y,Outlet_Store_Type.txt,N,ADHOC,PANEL_REG,N,,N,N,,",",10,,30,18,21,,N,
HSC,RTLOTLT,OTLTMSTR,gunzip,2,Y,1,Y,30,N,otlt_mstr_%.txt,N,ADHOC,PANEL_REG,N,,N,Y,1,|,10,,30,11,18,,N,
HSC,RTLOTLT,OTLTNHSR,gunzip,2,Y,1,Y,30,N,otl_nhs_rltd_%.txt,N,ADHOC,PANEL_REG,N,,N,Y,1,|,10,,30,14,21,,N,
HSC,PNLTRIPCA,PNLTRIPCA,gunzip,2,Y,1,Y,30,Y,trip_%.txt.gz,N,WEEKLY,PANEL_REG,Y,GZIP,N,N,,FIXED,10,,30,6,50,,N,
HSC,PNLTRIPCA,PNLPRCHCA,gunzip,2,Y,1,Y,30,Y,purch_%.txt.gz,N,WEEKLY,PANEL_REG,Y,GZIP,N,N,,FIXED,10,,30,7,50,,N,
HSC,PNLTRIP,TRIP,gunzip,2,Y,2,Y,30,N,pnltripstd_%.txt,N,WEEKLY,PANEL_REG,N,,N,Y,1,|,10,,30,12,19,,N,
HSC,PNLTRIP,PRCH,gunzip,2,Y,2,Y,30,N,pnlpurchasestd_%.txt,N,WEEKLY,PANEL_REG,N,,N,Y,1,|,10,,30,16,23,,N,
HSC,PRCHRSTCA,PRCHRSTCA,gunzip,1,Y,1,Y,30,Y,restate_purch_%%%%_%%%%.txt.gz,N,WEEKLY,PANEL_REG,Y,GZIP,N,N,,FIXED,10,,30,6,50,,N,
HSC,PRCHRST,PRCHRST,gunzip,1,Y,1,Y,30,N,pnlpurchaserst_%.txt,N,WEEKLY,PANEL_REG,N,,N,Y,1,|,10,,30,12,30,,N,
HSC,TRIPRSTCA,TRIPRSTCA,gunzip,1,Y,1,Y,30,Y,trip%refresh.dat.gz,N,WEEKLY,PANEL_REG,Y,GZIP,N,N,,FIXED,10,,30,6,50,,N,
HSC,TRIPRST,TRIPRST,gunzip,1,Y,1,Y,30,N,pnltriprst_%.txt,N,WEEKLY,PANEL_REG,N,,N,Y,1,|,10,,30,12,19,,N,
HSC,PNLDMGCA,PNLDMGCA,gunzip,1,Y,1,Y,30,Y,mstr_%.txt.gz,N,WEEKLY,PANEL_REG,Y,GZIP,N,N,,FIXED,10,,30,11,50,,N,
HSC,DMG,DMG,gunzip,1,Y,1,Y,30,N,pnls_dmg_%.txt,N,WEEKLY,PANEL_REG,N,,N,Y,1,|,10,,30,10,17,,N,
HSC,PRJCCAK,PRJCCAK,gunzip,3,Y,1,Y,30,Y,K%%_%%%%.dat.gz,N,WEEKLY,PANEL_REG,Y,GZIP,N,N,,FIXED,1,,30,1,50,KRA,Y,
HSC,PRJCCAM,PRJCCAM,gunzip,3,Y,1,Y,30,Y,M%%_%%%%.dat.gz,N,WEEKLY,PANEL_REG,Y,GZIP,N,N,,FIXED,1,,30,1,50,MON,Y,
HSC,PRJCCA,PRJCCA,gunzip,4,Y,125,Y,30,Y,fam_%.txt.gz,N,WEEKLY,PANEL_REG,Y,GZIP,N,N,,FIXED,1,,30,5,50,SYN,Y,
HSC,PJC,PJC,gunzip,1,Y,1,Y,30,N,projection_%.txt,N,WEEKLY,PANEL_REG,N,,N,Y,1,|,1,,30,12,50,,N,
HSC,CEN,CEN,gunzip,1,Y,1,Y,30,N,census_division.txt,N,ADHOC,PANEL_REG,N,,N,Y,1,|,1,,30,1,50,,N,
HSC,PRDRLSCA,PRDRLSCA,gunzip,1,Y,1,Y,30,Y,period_release.csv,N,ADHOC,PANEL_REG,N,,N,N,,",",1,,30,1,50,,N,
HSC,PRDRLS,PRDRLS,gunzip,1,Y,1,Y,30,Y,pnlPRDRLSCAstd_%.txt,N,ADHOC,NON_STD,N,,N,Y,1,|,1,,30,1,50,,N,
HSC,PNLMTCHCA,PNLMTCHXML,gunzip,2,Y,1,Y,30,Y,%_PNLMTCH_%.xml.gz,N,ADHOC,PANEL_REG,Y,GZIP,N,N,,FIXED,10,,30,1,20,,N,
HSC,PNLMTCHCA,PNLMTCHDAT,gunzip,2,Y,1,Y,30,Y,%_PNLMTCH_%.dat.gz,N,ADHOC,PANEL_REG,Y,GZIP,N,N,,FIXED,10,,30,1,20,,N,
HSC,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%_PANELMATCH_%.dat.gz,N,ADHOC,PANEL_REG,Y,GZIP,Y,N,0,|,1,200,210,1,33,,N,
HSC,BKSS,BKSS,gunzip,1,Y,1,Y,0,N,BKS_HMS_MISSION_SFW_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,Y,Y,1,|,1,200,210,5,30,SFW,Y,
HSC,HBS,TMK,gunzip,3,N,1,Y,0,Y,TRIP_MISSION_KFT_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF,Y,GZIP,Y,N,,,1,200,210,14,100,,N,
