Exception Name,Subscriber,?,?,Datafile,Process Location,?
CHECK_FILE_CONTS,HSC,TMVS,HBSS,TRIP_MISSION_VALUE_SFW_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TSVS,HBSS,TRIP_SIZE_VALUE_SFW_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMS,HBSS,TRIP_MISSION_SFW_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMVT,HBST,TRIP_MISSION_VALUE_TGT_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TSVT,HBST,TRIP_SIZE_VALUE_TGT_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMT,HBST,TRIP_MISSION_TGT_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMVU,HBSU,TRIP_MISSION_VALUE_SPV_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TSVU,HBSU,TRIP_SIZE_VALUE_SPV_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMU,HBSU,TRIP_MISSION_SPV_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMVMA,HBSMA,TRIP_MISSION_VALUE_MAS_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TSVMA,HBSMA,TRIP_SIZE_VALUE_MAS_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMMA,HBSMA,TRIP_MISSION_MAS_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,PRCHRSTCA,PRCHRSTCA,restate_purch_%%%%_%%%%.txt,Add to File contents,N
CHECK_FILE_CONTS,HSC,TRIPRSTCA,TRIPRSTCA,trip%refresh.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,NON,NON,NON_ARCH_%.txt,Add to File contents,N
CHECK_FILE_CONTS,LCD,TPD,TPD,TPD_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,PCR,PCR,PCR_NONSTD_LCD_%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,PRM,PRM,PRM_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,PST,PRM,PST_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,PRC,PRM,PRC_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,SCH,SCH,SCH_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,OOS,OOS,OOS_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,PRMODTL,PRMODTL,PMOD_%%%_%%%%%%%%%%%%%%.dat.gz,Add to File contents,Y
CHECK_FILE_CONTS,LCD,PRMTN,PRMTN,PMO_%%%_%%%%%%%%%%%%%%.dat.gz,Add to File contents,Y
CHECK_FILE_CONTS,LCD,PRMDTL,PRMTN,PMD_%%%_%%%%%%%%%%%%%%.dat.gz,Add to File contents,Y
CHECK_FILE_CONTS,LCD,PRMO,PRMO,PRMO_%%%_%%%%%%%%%%%%%%.dat.gz,Add to File contents,Y
CHECK_FILE_CONTS,LCD,PRDCCGRP,PRDCCGRP,,Add to File contents,Y
CHECK_FILE_CONTS,LCD,PODCGRP,PODCGRP,,Add to File contents,Y
CHECK_INT_VAL,CRF,PROUPCS,PROCHR,carr_pro_ean_sirval.CSV,Internal Validation,N
CHECK_INT_VAL,CRF,PROCHARS,PROCHR,carr_pro_chars_sirval.CSV,Internal Validation,N
CHECK_INT_VAL,NLS,PRODHSTRY,PRODHSTRY,PROD_PRO_HISTORY_EXTRACT.TXT,Internal Validation,N
CHECK_INT_VAL,NLS,PROUPCS,PROCHR,pro_upcs.txt,Internal Validation,N
CHECK_INT_VAL,NLS,PROCHARS,PROCHR,pro_chars.txt,Internal Validation,N
CHECK_INT_VAL,NLS,MRKT,MRKT,%_mrkt_2%.txt,Internal Validation,N
CHECK_INT_VAL,NLS,MRKT_CHRS,MRKT,%_mrkt_chrs_%.txt,Internal Validation,N
CHECK_INT_VAL,NLS,MRKT_POD,MRKT,%_mrkt_pod_rltd_%.txt,Internal Validation,N
CHECK_INT_VAL,NLS,POD,MRKT,%_pod_2%.txt,Internal Validation,N
CHECK_INT_VAL,NLS,POD_CHRS,MRKT,%_pod_chrs_%.txt,Internal Validation,N
CHECK_INT_VAL,SFW,NON,NON,NON_ARCH_%.txt,Internal Validation,N
CHECK_INT_VAL,SFW,TPD,TPD,TPD_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,SFW,PCR,PCR,PCR_NONSTD_SFW_%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,HHB,HHH,%.%_%.bgrp,Internal Validation,N
CHECK_INT_VAL,HSC,HHF,HHH,%.%_%.fam,Internal Validation,N
CHECK_INT_VAL,HSC,HHX,HHH,%_%.xml,Internal Validation,N
CHECK_INT_VAL,SFW,PRM,PRM,PRM_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,SFW,PST,PRM,PST_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,SFW,PRC,PRM,PRC_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,SFW,SCH,SCH,SCH_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,SFW,OOS,OOS,OOS_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,MRKTCA,MRKTCA,market_input.csv,Internal Validation,N
CHECK_INT_VAL,HSC,RTLOTLDMAP,RTLOTLTCA,Retailoutletdimensionmapping.txt,Internal Validation,N
CHECK_INT_VAL,HSC,RTLOTLSTR,RTLOTLTCA,Outlet_Store_Type.txt,Internal Validation,N
CHECK_INT_VAL,HSC,PNLTRIPCA,PNLTRIPCA,trip_%.txt,Internal Validation,N
CHECK_INT_VAL,HSC,PNLPRCHCA,PNLTRIPCA,purch_%.txt,Internal Validation,N
CHECK_INT_VAL,HSC,PNLDMGCA,PNLDMGCA,mstr_%.txt,Internal Validation,N
CHECK_INT_VAL,HSC,PRJCCA,PRJCCA,fam_%.txt,Internal Validation,N
CHECK_INT_VAL,HSC,PRJCCAK,PRJCCAK,K%%_%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,PRJCCAM,PRJCCAM,M%%_%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,PRDRLSCA,PRDRLSCA,period_release.csv,Internal Validation,N
CHECK_INT_VAL,HSC,PRDRLS,PRDRLS,pnlPRDRLSCAstd_%.txt,Internal Validation,N
CHECK_INT_VAL,HSC,PNLMTCHXML,PNLMTCHCA,%_PNLMTCH_%.xml,Internal Validation,N
CHECK_INT_VAL,HSC,PNLMTCHDAT,PNLMTCHCA,%_PNLMTCH_%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMVK,HBS,TRIP_MISSION_VALUE_KFT_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TSVK,HBS,TRIP_SIZE_VALUE_KFT_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMK,HBS,TRIP_MISSION_KFT_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMVM,HBSM,TRIP_MISSION_VALUE_SNG_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TSVM,HBSM,TRIP_SIZE_VALUE_SNG_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMM,HBSM,TRIP_MISSION_SNG_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMVS,HBSS,TRIP_MISSION_VALUE_SFW_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TSVS,HBSS,TRIP_SIZE_VALUE_SFW_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMS,HBSS,TRIP_MISSION_SFW_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMVT,HBST,TRIP_MISSION_VALUE_TGT_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TSVT,HBST,TRIP_SIZE_VALUE_TGT_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMT,HBST,TRIP_MISSION_TGT_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMVU,HBSU,TRIP_MISSION_VALUE_SPV_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TSVU,HBSU,TRIP_SIZE_VALUE_SPV_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMU,HBSU,TRIP_MISSION_SPV_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMVMA,HBSMA,TRIP_MISSION_VALUE_MAS_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TSVMA,HBSMA,TRIP_SIZE_VALUE_MAS_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,TMMA,HBSMA,TRIP_MISSION_MAS_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,HSC,PRCHRSTCA,PRCHRSTCA,restate_purch_%%%%_%%%%.txt,Internal Validation,N
CHECK_INT_VAL,HSC,TRIPRSTCA,TRIPRSTCA,trip%refresh.dat,Internal Validation,N
CHECK_INT_VAL,LCD,NON,NON,NON_ARCH_%.txt,Internal Validation,N
CHECK_INT_VAL,LCD,TPD,TPD,TPD_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,LCD,PCR,PCR,PCR_NONSTD_LCD_%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,LCD,PRM,PRM,PRM_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,LCD,PST,PRM,PST_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,LCD,PRC,PRM,PRC_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,LCD,SCH,SCH,SCH_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,LCD,OOS,OOS,OOS_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,LCD,PRMODTL,PRMODTL,PMOD_%%%_%%%%%%%%%%%%%%.dat.gz,Internal Validation,Y
CHECK_INT_VAL,LCD,PRMTN,PRMTN,PMO_%%%_%%%%%%%%%%%%%%.dat.gz,Internal Validation,Y
CHECK_INT_VAL,LCD,PRMDTL,PRMTN,PMD_%%%_%%%%%%%%%%%%%%.dat.gz,Internal Validation,Y
CHECK_INT_VAL,LCD,PRMO,PRMO,PRMO_%%%_%%%%%%%%%%%%%%.dat.gz,Internal Validation,Y
CHECK_INT_VAL,LCD,PRDCCGRP,PRDCCGRP,,Internal Validation,Y
CHECK_INT_VAL,LCD,PODCGRP,PODCGRP,,Internal Validation,Y
CHECK_CUST_ADPTR,TCG,PROUPCS,PROCHR,EUR_tcg_pro_ean_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,TCG,PROCHARS,PROCHR,EUR_tcg_pro_char_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_FILE_CONTS,TCG,PROUPCS,PROCHR,EUR_tcg_pro_ean_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,TCG,PROCHARS,PROCHR,EUR_tcg_pro_char_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_INT_VAL,TCG,PROUPCS,PROCHR,EUR_tcg_pro_ean_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,TCG,PROCHARS,PROCHR,EUR_tcg_pro_char_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_CUST_ADPTR,TCG,TCGDCB_CRE,TCGDCB,SYNF1001%%%%%%%.cre,Check Custom Adapter Needed,Y
CHECK_FILE_CONTS,TCG,TCGDCB_CRE,TCGDCB,SYNF1001%%%%%%%.cre,Add to File contents,N
CHECK_INT_VAL,TCG,TCGDCB_CRE,TCGDCB,SYNF1001%%%%%%%.cre,Internal Validation,N
CHECK_CUST_ADPTR,TCG,TCGDCB_CHA,TCGDCB,SYNF1001%%%%%%%.cha,Check Custom Adapter Needed,Y
CHECK_FILE_CONTS,TCG,TCGDCB_CHA,TCGDCB,SYNF1001%%%%%%%.cha,Add to File contents,N
CHECK_INT_VAL,TCG,TCGDCB_CHA,TCGDCB,SYNF1001%%%%%%%.cha,Internal Validation,N
CHECK_CUST_ADPTR,CAF,PROUPCS,PROCHR,EUR_caf_pro_ean_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,CAF,PROCHARS,PROCHR,EUR_caf_pro_char_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_FILE_CONTS,CAF,PROUPCS,PROCHR,EUR_caf_pro_ean_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,CAF,PROCHARS,PROCHR,EUR_caf_pro_char_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_INT_VAL,CAF,PROUPCS,PROCHR,EUR_caf_pro_ean_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,CAF,PROCHARS,PROCHR,EUR_caf_pro_char_%%%%%%%%%%%%%%.dat,Internal Validation,N
