PROCHRSTD,PRDC_CHR,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,Y,N,N,2,
PROCHRSTD,PRDC_CHR,CHR_VAL_TYPE,CHR_VAL_TYP,INTEGER,NULLABLE,Y,Y,N,N,8,
PROCHRSTD,PRDC_CHR,RTL_PRDC_ID,RTL_PRDC_ID,VARCHAR(50),NOT NULLABLE,Y,Y,N,N,1,
PROCHRSTD,PRDC_CHR,Product_ID,PRDC_ID,INTEGER,NULLABLE,Y,Y,Y,N,3,
PROCHRSTD,PRDC_CHR,ITM_CD,ITM_CD,VARCHAR(20),NULLABLE,Y,Y,N,N,4,
PROCHRSTD,PRDC_CHR,File_ID,FL_ID,INTEGER,NULLABLE,Y,Y,N,N,5,
PROCHRSTD,PRDC_CHR,CHR_NM,CHR_NM,VARCHAR(100),NOT NULLABLE,Y,Y,N,N,6,
PROCHRSTD,PRDC_CHR,CHR_VAL,CHR_VAL,VARCHAR(255),NULLABLE,Y,Y,N,N,7,
PROCHRSTD,PRDC_CHR,PROCESS_FLAG,PRCS_FLG,SMALLINT,NULLABLE,N,Y,N,N,9,
AGP,AGP,Retailer_Store_Number,RTL_POD_NUM,VARCHAR(30),NOT NULLABLE,Y,N,N,N,1
AGP,AGP,Retailer_Product_ID,RTL_PRDC_ID,VARCHAR(50),NOT NULLABLE,Y,N,N,N,2
AGP,AGP,item_code,ITM_CD,VARCHAR(20),NOT NULLABLE,Y,N,N,N,3
AGP,AGP,txn_dte,TXN_DT,VARCHAR (30),NOT NULLABLE,Y,N,N,N,4
AGP,AGP,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,N,N,N,5
AGP,AGP,POD_ID,POD_ID,INTEGER,NULLABLE,Y,N,Y,N,6
AGP,AGP,Product_ID,PRDC_ID,INTEGER,NULLABLE,Y,N,Y,N,7
AGP,AGP,Cost_Per_Unit,COST_PER_UNIT,"NUMERIC (18,6)",NULLABLE,Y,Y,N,N,8
AGP,AGP,AGP_UNIT_AMT,AGP_UNIT_AMT,"NUMERIC (18,6)",NULLABLE,Y,Y,N,N,9
AGP,AGP,Retail_Allowance,RTL_ALLOWANCE,"NUMERIC(18,6)",NULLABLE,Y,Y,N,N,10
AGP,AGP,File_ID,FL_ID,INTEGER,NULLABLE,Y,N,N,N,11
AGP,AGP,Process_Flag,PRCS_FLG,SMALLINT,NULLABLE,Y,N,N,N,12
AGR,AGP,Retailer_Store_Number,RTL_POD_NUM,VARCHAR(30),NOT NULLABLE,Y,N,N,N,1
AGR,AGP,Retailer_Product_ID,RTL_PRDC_ID,VARCHAR(50),NOT NULLABLE,Y,N,N,N,2
AGR,AGP,item_code,ITM_CD,VARCHAR(20),NOT NULLABLE,Y,N,N,N,3
AGR,AGP,txn_dte,TXN_DT,VARCHAR (30),NOT NULLABLE,Y,N,N,N,4
AGR,AGP,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,N,N,N,5
AGR,AGP,POD_ID,POD_ID,INTEGER,NULLABLE,Y,N,Y,N,6
AGR,AGP,Product_ID,PRDC_ID,INTEGER,NULLABLE,Y,N,Y,N,7
AGR,AGP,Cost_Per_Unit,COST_PER_UNIT,"NUMERIC (18,6)",NULLABLE,Y,Y,N,N,8
AGR,AGP,AGP_UNIT_AMT,AGP_UNIT_AMT,"NUMERIC (18,6)",NULLABLE,Y,Y,N,N,9
AGR,AGP,Retail_Allowance,RTL_ALLOWANCE,"NUMERIC(18,6)",NULLABLE,Y,Y,N,N,10
AGR,AGP,File_ID,FL_ID,INTEGER,NULLABLE,Y,N,N,N,11
AGR,AGP,Process_Flag,PRCS_FLG,SMALLINT,NULLABLE,Y,N,N,N,12
BAR,BSKT,Retailer_Basket_ID,RTL_BSKT_ID,VARCHAR (50),NOT NULLABLE,Y,N,N,N,1
BAR,BSKT,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,N,N,N,2
BAR,BSKT,Retailer_Store_Number,RTL_POD_NUM,VARCHAR (30),NULLABLE,Y,Y,N,N,3
BAR,BSKT,Transaction_Date_Time,TXN_DT_TM,VARCHAR (30),NULLABLE,Y,Y,N,N,4
BAR,BSKT,Retailer_Loyalty_Card_ID,PRMRY_RTL_LYLTY_CRD_ID,VARCHAR (50),NULLABLE,Y,Y,N,N,5
BAR,BSKT,Basket_ID,BSKT_ID,BIGINT,NULLABLE,Y,N,Y,N,6
BAR,BSKT,Primary_Identifying_Card_ID,PRMRY_IDNT_CRD_ID,INTEGER,NULLABLE,Y,Y,Y,N,7
BAR,BSKT,Period_ID,PRD_ID,INTEGER,NULLABLE,Y,Y,Y,N,8
BAR,BSKT,POD_ID,POD_ID,INTEGER,NULLABLE,Y,Y,Y,N,9
BAR,BSKT,Total_Item_Count,TOT_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,10
BAR,BSKT,Total_Basket_Value,TOT_BSKT_VAL,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,11
BAR,BSKT,Total_Gross_Amount,TOT_GROSS_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,12
BAR,BSKT,Tax,TAX_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,13
BAR,BSKT,Retailer_Discount_Item_Count,RTL_DSCNT_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,14
BAR,BSKT,Non_Retailer_Discount_Item_Count,NON_RTL_DSCNT_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,15
BAR,BSKT,Total_Retailer_Discount_Amount,TOT_RTL_DSCNT_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,16
BAR,BSKT,Total_Non_Retailer_Discount_Amount,TOT_NON_RTL_DSCNT_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,17
BAR,BSKT,Markdown_Item_Count,MRKDWN_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,18
BAR,BSKT,Total_Markdown_Amount,TOT_MRKDWN_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,19
BAR,BSKT,Returned_Item_Count,RTN_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,20
BAR,BSKT,Total_Returns_Amount,TOT_RTN_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,21
BAR,BSKT,Miscellaneous_Item_Count,MISC_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,22
BAR,BSKT,Total_Miscellaneous_Amount,TOT_MISC_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,23
BAR,BSKT,Online_Purchase_Flag,ONLN_PRCHS_FLG,VARCHAR (1),NULLABLE,Y,Y,N,N,24
BAR,BSKT,Total_Points_Earned,TOT_PNT_ERND,INTEGER,NULLABLE,Y,Y,N,N,25
BAR,BSKT,Total_Points_Redeemed,TOT_PNT_RDMD,INTEGER,NULLABLE,Y,Y,N,N,26
BAR,BSKT,File_ID,FL_ID,INTEGER,NULLABLE,Y,N,N,N,27
BAR,BSKT,Process_Flag,PRCS_FLG,SMALLINT,NULLABLE,Y,N,N,N,28
BAS,BSKT,Retailer_Basket_ID,RTL_BSKT_ID,VARCHAR (50),NOT NULLABLE,Y,N,N,N,1
BAS,BSKT,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,N,N,N,2
BAS,BSKT,Retailer_Store_Number,RTL_POD_NUM,VARCHAR (30),NULLABLE,Y,Y,N,N,3
BAS,BSKT,Transaction_Date_Time,TXN_DT_TM,VARCHAR (30),NULLABLE,Y,Y,N,N,4
BAS,BSKT,Retailer_Loyalty_Card_ID,PRMRY_RTL_LYLTY_CRD_ID,VARCHAR (50),NULLABLE,Y,Y,N,N,5
BAS,BSKT,Basket_ID,BSKT_ID,BIGINT,NULLABLE,Y,N,Y,N,6
BAS,BSKT,Primary_Identifying_Card_ID,PRMRY_IDNT_CRD_ID,INTEGER,NULLABLE,Y,Y,Y,N,7
BAS,BSKT,Period_ID,PRD_ID,INTEGER,NULLABLE,Y,Y,Y,N,8
BAS,BSKT,POD_ID,POD_ID,INTEGER,NULLABLE,Y,Y,Y,N,9
BAS,BSKT,Total_Item_Count,TOT_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,10
BAS,BSKT,Total_Basket_Value,TOT_BSKT_VAL,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,11
BAS,BSKT,Total_Gross_Amount,TOT_GROSS_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,12
BAS,BSKT,Tax,TAX_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,13
BAS,BSKT,Retailer_Discount_Item_Count,RTL_DSCNT_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,14
BAS,BSKT,Non_Retailer_Discount_Item_Count,NON_RTL_DSCNT_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,15
BAS,BSKT,Total_Retailer_Discount_Amount,TOT_RTL_DSCNT_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,16
BAS,BSKT,Total_Non_Retailer_Discount_Amount,TOT_NON_RTL_DSCNT_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,17
BAS,BSKT,Markdown_Item_Count,MRKDWN_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,18
BAS,BSKT,Total_Markdown_Amount,TOT_MRKDWN_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,19
BAS,BSKT,Returned_Item_Count,RTN_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,20
BAS,BSKT,Total_Returns_Amount,TOT_RTN_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,21
BAS,BSKT,Miscellaneous_Item_Count,MISC_ITM_CNT,INTEGER,NULLABLE,Y,Y,N,N,22
BAS,BSKT,Total_Miscellaneous_Amount,TOT_MISC_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,23
BAS,BSKT,Online_Purchase_Flag,ONLN_PRCHS_FLG,VARCHAR (1),NULLABLE,Y,Y,N,N,24
BAS,BSKT,Total_Points_Earned,TOT_PNT_ERND,INTEGER,NULLABLE,Y,Y,N,N,25
BAS,BSKT,Total_Points_Redeemed,TOT_PNT_RDMD,INTEGER,NULLABLE,Y,Y,N,N,26
BAS,BSKT,File_ID,FL_ID,INTEGER,NULLABLE,Y,N,N,N,27
BAS,BSKT,Process_Flag,PRCS_FLG,SMALLINT,NULLABLE,Y,N,N,N,28
BDI,BSKT_ITM_DSCNT,Retailer_Basket_ID,RTL_BSKT_ID,VARCHAR (50),NOT NULLABLE,Y,N,N,N,1
BDI,BSKT_ITM_DSCNT,Retailer_Product_ID,RTL_PRDC_ID,VARCHAR (50),NOT NULLABLE,Y,N,N,N,2
BDI,BSKT_ITM_DSCNT,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,N,N,N,3
BDI,BSKT_ITM_DSCNT,Discount_Type,DSCNT_TYP,VARCHAR (50),NOT NULLABLE,Y,N,N,N,4
BDI,BSKT_ITM_DSCNT,Retailer_Coupon_ID,RTL_CPN_ID,VARCHAR (20),NOT NULLABLE,Y,N,N,N,5
BDI,BSKT_ITM_DSCNT,Retailer_Promotion_ID,RTL_PRMTN_ID,VARCHAR (20),NOT NULLABLE,Y,N,N,N,6
BDI,BSKT_ITM_DSCNT,Retailer_Store_Number,RTL_POD_NUM,VARCHAR (30),NULLABLE,Y,Y,N,N,7
BDI,BSKT_ITM_DSCNT,Transaction_Date_Time,TXN_DT_TM,VARCHAR (30),NULLABLE,Y,Y,N,N,8
BDI,BSKT_ITM_DSCNT,Period_ID,PRD_ID,INTEGER,NULLABLE,Y,Y,Y,N,9
BDI,BSKT_ITM_DSCNT,Product_ID,PRDC_ID,INTEGER,NULLABLE,Y,N,Y,N,10
BDI,BSKT_ITM_DSCNT,Item_Code,ITM_CD,VARCHAR (20),NULLABLE,Y,N,N,N,11
BDI,BSKT_ITM_DSCNT,POD_ID,POD_ID,INTEGER,NULLABLE,Y,Y,Y,N,12
BDI,BSKT_ITM_DSCNT,Basket_ID,BSKT_ID,BIGINT,NULLABLE,Y,N,Y,N,13
BDI,BSKT_ITM_DSCNT,Discount_Division,DSCNT_DIV,VARCHAR (20),NULLABLE,Y,N,N,N,14
BDI,BSKT_ITM_DSCNT,Discount_Quantity,DSCNT_QTY,INTEGER,NULLABLE,Y,Y,N,N,15
BDI,BSKT_ITM_DSCNT,Discount_Amount,DSCNT_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,16
BDI,BSKT_ITM_DSCNT,Discount_Item_Quantity,DSCNT_ITM_QTY,INTEGER,NULLABLE,Y,Y,N,N,17
BDI,BSKT_ITM_DSCNT,Promotion_Item_Discount_Amount,PRMTN_ITM_DSCNT_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,18
BDI,BSKT_ITM_DSCNT,File_ID,FL_ID,INTEGER,NULLABLE,Y,N,N,N,19
BDI,BSKT_ITM_DSCNT,Process_Flag,PRCS_FLG,SMALLINT,NULLABLE,Y,N,N,N,20
BID,BSKT_IDNT_CARDS,Retailer_Basket_ID,RTL_BSKT_ID,VARCHAR (50),NOT NULLABLE,Y,Y,N,N,1
BID,BSKT_IDNT_CARDS,Retailer_Loyalty_Card_ID,PRMRY_RTL_LYLTY_CRD_ID,VARCHAR (50),NOT NULLABLE,Y,Y,N,N,2
BID,BSKT_IDNT_CARDS,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,Y,N,N,3
BID,BSKT_IDNT_CARDS,Basket_ID,BSKT_ID,BIGINT,NULLABLE,Y,Y,Y,N,4
BID,BSKT_IDNT_CARDS,Identifying_Card_ID,IDNT_CRD_ID,INTEGER,NULLABLE,Y,Y,Y,N,5
BID,BSKT_IDNT_CARDS,Identifying_Card_Type,IDNT_CRD_TYP,VARCHAR (30),NULLABLE,Y,Y,N,N,6
BID,BSKT_IDNT_CARDS,Primary_Flag,PRMRY_FLG,VARCHAR (1),NULLABLE,Y,Y,N,N,7
BID,BSKT_IDNT_CARDS,File_ID,FL_ID,VARCHAR (10),NULLABLE,Y,Y,N,N,8
BID,BSKT_IDNT_CARDS,Process_Flag,PRCS_FLG,SMALLINT,NULLABLE,Y,Y,N,N,9
BIR,BSKT_IDNT_CARDS,Retailer_Basket_ID,RTL_BSKT_ID,VARCHAR (50),NOT NULLABLE,Y,Y,N,N,1
BIR,BSKT_IDNT_CARDS,Retailer_Loyalty_Card_ID,PRMRY_RTL_LYLTY_CRD_ID,VARCHAR (50),NOT NULLABLE,Y,Y,N,N,2
BIR,BSKT_IDNT_CARDS,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,Y,N,N,3
BIR,BSKT_IDNT_CARDS,Basket_ID,BSKT_ID,BIGINT,NULLABLE,Y,Y,Y,N,4
BIR,BSKT_IDNT_CARDS,Identifying_Card_ID,IDNT_CRD_ID,INTEGER,NULLABLE,Y,Y,Y,N,5
BIR,BSKT_IDNT_CARDS,Identifying_Card_Type,IDNT_CRD_TYP,VARCHAR (30),NULLABLE,Y,Y,N,N,6
BIR,BSKT_IDNT_CARDS,Primary_Flag,PRMRY_FLG,VARCHAR (1),NULLABLE,Y,Y,N,N,7
BIR,BSKT_IDNT_CARDS,File_ID,FL_ID,VARCHAR (10),NULLABLE,Y,Y,N,N,8
BIR,BSKT_IDNT_CARDS,Process_Flag,PRCS_FLG,SMALLINT,NULLABLE,Y,Y,N,N,9
BNI,BSKT_DSCNT,Retailer_Basket_ID,RTL_BSKT_ID,VARCHAR (50),NOT NULLABLE,Y,N,N,N,1
BNI,BSKT_DSCNT,Discount_Type,DSCNT_TYP,VARCHAR (50),NOT NULLABLE,Y,N,N,N,2
BNI,BSKT_DSCNT,Retailer_Coupon_ID,RTL_CPN_ID,VARCHAR (20),NOT NULLABLE,Y,N,N,N,3
BNI,BSKT_DSCNT,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,N,N,N,4
BNI,BSKT_DSCNT,Retailer_Store_Number,RTL_POD_NUM,VARCHAR (30),NULLABLE,Y,Y,N,N,5
BNI,BSKT_DSCNT,Retailer_Promotion_ID,RTL_PRMTN_ID,VARCHAR (20),NULLABLE,Y,N,N,N,6
BNI,BSKT_DSCNT,Transaction_Date_Time,TXN_DT_TM,VARCHAR (30),NULLABLE,Y,Y,N,N,7
BNI,BSKT_DSCNT,Period_ID,PRD_ID,INTEGER,NULLABLE,Y,Y,Y,N,8
BNI,BSKT_DSCNT,POD_ID,POD_ID,INTEGER,NULLABLE,Y,Y,Y,N,9
BNI,BSKT_DSCNT,Basket_ID,BSKT_ID,BIGINT,NULLABLE,Y,N,Y,N,10
BNI,BSKT_DSCNT,Discount_Division,DSCNT_DIV,VARCHAR (20),NULLABLE,Y,N,N,N,11
BNI,BSKT_DSCNT,Discount_Quantity,DSCNT_QTY,INTEGER,NULLABLE,Y,Y,N,N,12
BNI,BSKT_DSCNT,Discount_Amount,DSCNT_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,13
BNI,BSKT_DSCNT,File_ID,FL_ID,INTEGER,NULLABLE,Y,N,N,N,14
BNI,BSKT_DSCNT,Process_Flag,PRCS_FLG,SMALLINT,NULLABLE,Y,N,N,N,15
BNR,BSKT_DSCNT,Retailer_Basket_ID,RTL_BSKT_ID,VARCHAR (50),NOT NULLABLE,Y,N,N,N,1
BNR,BSKT_DSCNT,Discount_Type,DSCNT_TYP,VARCHAR (50),NOT NULLABLE,Y,N,N,N,2
BNR,BSKT_DSCNT,Retailer_Coupon_ID,RTL_CPN_ID,VARCHAR (20),NOT NULLABLE,Y,N,N,N,3
BNR,BSKT_DSCNT,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,N,N,N,4
BNR,BSKT_DSCNT,Retailer_Store_Number,RTL_POD_NUM,VARCHAR (30),NULLABLE,Y,Y,N,N,5
BNR,BSKT_DSCNT,Retailer_Promotion_ID,RTL_PRMTN_ID,VARCHAR (20),NULLABLE,Y,N,N,N,6
BNR,BSKT_DSCNT,Transaction_Date_Time,TXN_DT_TM,VARCHAR (30),NULLABLE,Y,Y,N,N,7
BNR,BSKT_DSCNT,Period_ID,PRD_ID,INTEGER,NULLABLE,Y,Y,Y,N,8
BNR,BSKT_DSCNT,POD_ID,POD_ID,INTEGER,NULLABLE,Y,Y,Y,N,9
BNR,BSKT_DSCNT,Basket_ID,BSKT_ID,BIGINT,NULLABLE,Y,N,Y,N,10
BNR,BSKT_DSCNT,Discount_Division,DSCNT_DIV,VARCHAR (20),NULLABLE,Y,N,N,N,11
BNR,BSKT_DSCNT,Discount_Quantity,DSCNT_QTY,INTEGER,NULLABLE,Y,Y,N,N,12
BNR,BSKT_DSCNT,Discount_Amount,DSCNT_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,13
BNR,BSKT_DSCNT,File_ID,FL_ID,INTEGER,NULLABLE,Y,N,N,N,14
BNR,BSKT_DSCNT,Process_Flag,PRCS_FLG,SMALLINT,NULLABLE,Y,N,N,N,15
BRS,BSKT_ITM_DSCNT,Retailer_Basket_ID,RTL_BSKT_ID,VARCHAR (50),NOT NULLABLE,Y,N,N,N,1
BRS,BSKT_ITM_DSCNT,Retailer_Product_ID,RTL_PRDC_ID,VARCHAR (50),NOT NULLABLE,Y,N,N,N,2
BRS,BSKT_ITM_DSCNT,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,N,N,N,3
BRS,BSKT_ITM_DSCNT,Discount_Type,DSCNT_TYP,VARCHAR (50),NOT NULLABLE,Y,N,N,N,4
BRS,BSKT_ITM_DSCNT,Retailer_Coupon_ID,RTL_CPN_ID,VARCHAR (20),NOT NULLABLE,Y,N,N,N,5
BRS,BSKT_ITM_DSCNT,Retailer_Promotion_ID,RTL_PRMTN_ID,VARCHAR (20),NOT NULLABLE,Y,N,N,N,6
BRS,BSKT_ITM_DSCNT,Retailer_Store_Number,RTL_POD_NUM,VARCHAR (30),NULLABLE,Y,Y,N,N,7
BRS,BSKT_ITM_DSCNT,Transaction_Date_Time,TXN_DT_TM,VARCHAR (30),NULLABLE,Y,Y,N,N,8
BRS,BSKT_ITM_DSCNT,Period_ID,PRD_ID,INTEGER,NULLABLE,Y,Y,Y,N,9
BRS,BSKT_ITM_DSCNT,Product_ID,PRDC_ID,INTEGER,NULLABLE,Y,N,Y,N,10
BRS,BSKT_ITM_DSCNT,Item_Code,ITM_CD,VARCHAR (20),NULLABLE,Y,N,N,N,11
BRS,BSKT_ITM_DSCNT,POD_ID,POD_ID,INTEGER,NULLABLE,Y,Y,Y,N,12
BRS,BSKT_ITM_DSCNT,Basket_ID,BSKT_ID,BIGINT,NULLABLE,Y,N,Y,N,13
BRS,BSKT_ITM_DSCNT,Discount_Division,DSCNT_DIV,VARCHAR (20),NULLABLE,Y,N,N,N,14
BRS,BSKT_ITM_DSCNT,Discount_Quantity,DSCNT_QTY,INTEGER,NULLABLE,Y,Y,N,N,15
BRS,BSKT_ITM_DSCNT,Discount_Amount,DSCNT_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,16
BRS,BSKT_ITM_DSCNT,Discount_Item_Quantity,DSCNT_ITM_QTY,INTEGER,NULLABLE,Y,Y,N,N,17
BRS,BSKT_ITM_DSCNT,Promotion_Item_Discount_Amount,PRMTN_ITM_DSCNT_AMT,"NUMERIC (10,2)",NULLABLE,Y,Y,N,N,18
BRS,BSKT_ITM_DSCNT,File_ID,FL_ID,INTEGER,NULLABLE,Y,N,N,N,19
BRS,BSKT_ITM_DSCNT,Process_Flag,PRCS_FLG,SMALLINT,NULLABLE,Y,N,N,N,20
HHA,HSHLD_SGMT,Retailer_Household_ID,RTL_HSHLD_ID,VARCHAR(50),NOT NULLABLE,Y,N,N,N,1
HHA,HSHLD_SGMT,SRC_ID,SRC_ID,SMALLINT,NOT NULLABLE,Y,N,N,N,2
HHA,HSHLD_SGMT,Segment_Type_Description,SGMT_TYP_DSC,VARCHAR(100),NOT NULLABLE,Y,N,N,Y,3
HHA,HSHLD_SGMT,Segment_Number,SGMT_NUM,INTEGER,NOT NULLABLE,Y,N,N,Y,4
HHA,HSHLD_SGMT,Segment_Level_Number,SGMT_LVL_NUM,INTEGER,NOT NULLABLE,Y,N,N,Y,5
